file_name,model,AUC_mean,AUC_sd,BOYCE_mean,BOYCE_sd,IMAE_mean,IMAE_sd
Megachile_rotundata,max,0.9888,0.002875568,0.890525899,0.139202621,0.984750742,0.003100486
Megachile_saulcyi,max,0.994922034,0.001054668,0.937925221,0.00279953,0.981678262,0.001758522
Megachile_semirufa,max,0.992813333,0.000282843,0.832795269,0.074078521,0.982164991,0.000568016
Megalybus_crassus,max,0.9677,0.009475231,0.966538304,0.035958899,0.878553677,0.01607206
Melanophthalma,max,0.996233333,0.002687006,0.997720304,0.000796005,0.9934183,0.001707062
Melissoptila,max,0.990571429,0.002505178,0.977643851,0.001861029,0.976225347,0.019288653
Mesonychium_,max,0.979341667,0.015285292,0.959980677,0.051506336,0.973095767,0.000520815
Mitrodetus_dentitarsis,max,0.998266667,0.00031427,0.946374729,0.052453622,0.994663057,0.000730615
Mordella,max,0.995544444,0.000927096,0.918781519,0.049550054,0.98493549,0.001328594
Mycteromyia,max,0.994033333,0.007118208,0.995785643,8.10E-05,0.987440888,0.013314197
Mycteromyia_conica,max,0.9983,0.000565685,0.936732115,0.026120495,0.995403101,0.001333163
Neofidelia_profuga,max,0.996282353,0.000732063,0.842752823,0.124757566,0.990750084,0.001646697
Neomaenas,max,0.994527778,0.000243559,0.909916165,0.004873995,0.982452585,0.004641414
Notanthidium_steloides,max,0.996785366,0.000255248,0.90809869,0.025058416,0.986014983,0.001301776
Nymphalidae_,max,0.991066667,0.000749962,0.893807805,0.068825963,0.962395913,0.002146021
Peleteria_filipalpis,max,0.99548,0.002658721,0.983048467,0.014345088,0.978905895,0.002412468
Pepsis_limbata,max,0.993666667,0.004808326,0.995371216,0.004418312,0.983167874,0.017531639
Phoebis_,max,0.998047253,0.000672917,0.905883929,0.013891356,0.994380165,0.001436083
Phulia_nymphula,max,0.7776,0.248901587,0.995634753,0.004020031,0.957390007,0.044950246
Platycheirus_chalconota,max,0.9931325,0.001566242,0.935909116,0.035420664,0.984193476,0.001752195
Platycheirus_fenestrata,max,0.990861538,0.001740571,0.920348239,0.078123265,0.979993356,0.001412436
Protopsilapha,max,0.9984,9.43E-05,0.978184701,0.014681034,0.992743633,0.002031577
Pseudagapostemon_pissisi,max,0.979866667,0.021684608,0.997911488,0.001121292,0.921857897,0.057997751
Pseudolucia_chilensis,max,0.996626667,0.001640488,0.973795985,0.002891847,0.991712958,0.000648273
Rhopalomerus_tenuirostris,max,0.998266667,0.000754247,0.996652497,0.004394966,0.988664023,0.007598171
Rhynchalastor_scabriusculus,max,0.981628571,0.020081833,0.984516768,0.021609933,0.939582189,0.062189201
Romanophora,max,0.99077,0.000381838,0.986125146,0.005862801,0.966441464,0.00476975
Ruizantheda_,max,0.993258824,0.00032721,0.831129665,0.072327473,0.978369624,0.002616619
Ruizantheda_mutabilis,max,0.985006452,0.011660419,0.949151964,0.01451548,0.982376607,0.005332579
Ruizantheda_proxima,max,0.994315789,0.000729436,0.900023773,0.041421478,0.982761668,0.002240649
Scaeva_melanostoma,max,0.977882353,0.005789957,0.907608317,0.059115706,0.964043458,0.007114798
Scaptia_,max,0.994765,0.000403051,0.955206202,0.031439077,0.980328848,0.008239083
Seioptera_importans,max,0.9977,0.000141421,0.988002902,0.000967929,0.986921141,0.001186072
Solenopsis_gayi,max,0.992866667,0.003582674,0.982204165,0.020838746,0.989469438,0.003027312
Sphecodes_chilensis,max,0.99832,0.000678823,0.992992811,0.004802995,0.993828875,0.004098255
Sphex_latreillei,max,0.977399754,0.014970809,0.909094286,0.042312832,0.985227575,0.000733515
Spinoliella_herbsti,max,0.9986,0.001131371,0.99735382,0.001484865,0.996220402,0.001790409
Stilbosoma_cyaneum,max,0.99505,0.000919239,0.995166784,0.006011209,0.970732263,0.027682434
Svastrides_melanura,max,0.99206383,0.000680026,0.891559642,0.093296163,0.97916112,0.00083172
Syrphus,max,0.994870968,0.000501818,0.931375076,0.02905601,0.985480525,0.001015128
Syrphus_octomaculatus,max,0.99402,0.001687628,0.85806455,0.058858183,0.98287865,0.000175841
Syrphus_reedi,max,0.992266667,0.000942809,0.977696368,0.01527477,0.958758943,0.000108035
Tatochila,max,0.985557112,0.005953914,0.915278032,0.10349217,0.972349879,0.00342557
Tatochila_blanchardi,max,0.9876,0.003771236,0.984958282,0.009121112,0.929660569,0.05966896
Tatochila_mercedis,max,0.993809091,0.000282843,0.920149743,0.001104303,0.98434459,0.000226598
Toxomerus_calceolatus ,max,0.99679697,0.000467119,0.941492671,0.017288649,0.9885511,0.001608771
Trichophthalma,max,0.993533333,0.000810816,0.841274203,0.089504332,0.982226991,0.002184406
Trichophthalma_barbarossa,max,0.995233333,0.001932759,0.981956552,0.010704018,0.983939621,0.003681808
Trichophthalma_subaurata,max,0.99765,7.07E-05,0.969068405,0.000931422,0.991883106,0.000811891
Trichothurgus_,max,0.986091098,0.008030751,0.914025419,0.075011598,0.98026489,0.000168921
Trichothurgus_dubius,max,0.9968875,0.000194454,0.784092687,0.071245087,0.99039815,0.001267517
Trichothurgus_wagenknechti,max,0.984283333,2.36E-05,0.944001864,0.053235649,0.965842091,0.007475657
Triploechus_heteronevrus,max,0.9875,0.006505382,0.974115987,0.034792343,0.970353398,0.024432664
Turdus_falcklandii ,max,0.993044828,0.00074612,0.945231007,0.037338043,0.952202365,0.00258058
Vanessa_carye,max,0.992288227,0.001087965,0.814877496,0.045574798,0.976758077,0.001299488
Vanessa_terpsichore,max,0.989354286,0.002868833,0.940470651,0.005710763,0.974869424,0.004505994
Vespula_germanica,max,0.98997931,0.007617247,0.880245073,0.087419641,0.984971061,0.001027341
Villa_,max,0.991986111,0.006454314,0.931813887,0.016981723,0.986872165,0.005803929
Yramea_,max,0.956266667,0.016593439,0.991698338,0.005209136,0.936453303,0.029817055
Yramea_cytheris,max,0.983157386,0.001173958,0.766411146,0.203392677,0.965046798,0.004158718
Yramea_lathonoides,max,0.97885,0.008061017,0.986623305,0.01444229,0.979898489,0.000639731
